team,average age,market value
Manchester City,25.5,1260000000
Paris Saint-Germain,25.5,1070000000
Real Madrid,25.4,1030000000
Chelsea FC,24.7,999999999
Bayern Munich,25.3,948150000
Liverpool FC,25.1,877300000
FC Barcelona,24,862500000
Tottenham Hotspur,25.4,747600000
SSC Napoli,26.2,587750000
Inter Milan,26.4,563350000
AC Milan,25.8,543250000
Bayer 04 Leverkusen,24.2,523250000
RB Leipzig,25.6,489100000
Atletico de Madrid,25.4,472000000
Borussia Dortmund,24.6,466600000
Juventus FC,25.4,421600000
SL Benfica,25.1,359630000
FC Porto,26.4,289000000
Sporting CP,23.5,280300000
Olympique Marseille,25.2,248800000
Red Bull Salzburg,22.1,206500000
Eintracht Frankfurt,25,188500000
Sevilla FC,26.3,187000000
Ajax Amsterdam,23.6,185900000
Clup Brugge KV,24.1,148750000
Celtic FC,25.2,126650000
Shakhtar Donetsk,24.6,106000000
Rangers FC,24.6,104550000
GNK Dinamo Zagreb,24.5,80300000
FC Copenhagen,24.1,66350000
FC Viktoria Plzen,26.5,29180000
Maccabi Haifa,26.3,20760000
